"did","gene","AF"
"XRN:12TR0U","PIK3CA",0.01
"XRN:12TR0U","PTEN",0.07
"XRN:12TR0U","TP53",0.11
"XRN:13DXXG","APC",0.3709
"XRN:13DXXG","KRAS",0.4491
"XRN:13DXXG","PTEN",0.6028
"XRN:13DXXG","TP53",0.4077
"XRN:13YT2B","KRAS",0.14
"XRN:13YT2B","PTEN",0.13
"XRN:13YT2B","TP53",0.14
"XRN:14PX5C","KRAS",0.4585
"XRN:14PX5C","PTEN",0.0115
"XRN:14PX5C","TP53",0.4504
"XRN:14R2KC","APC",0.3271
"XRN:14R2KC","PIK3CA",0.3305
"XRN:14R2KC","PTEN",0.3785
"XRN:14R2KC","TP53",0.4714
"XRN:14UK8X","APC",0.3695
"XRN:14UK8X","KRAS",0.2298
"XRN:14UK8X","PTEN",0.382
"XRN:16UU7T","APC",0.0438
"XRN:16UU7T","KRAS",0.0185
"XRN:16UU7T","PTEN",0.0225
"XRN:18BY6F","APC",0.3933
"XRN:18BY6F","KRAS",0.3593
"XRN:18BY6F","PTEN",0.7291
"XRN:19VSMC","APC",0.2011
"XRN:19VSMC","KRAS",0.4462
"XRN:19VSMC","PIK3CA",0.0178
"XRN:19VSMC","PTEN",0.1696
"XRN:19XQYL","APC",0.1795
"XRN:19XQYL","KRAS",0.2793
"XRN:19XQYL","PIK3CA",0.1789
"XRN:19XQYL","PTEN",0.3229
"XRN:19XQYL","TP53",0.3676
"XRN:1ANBDM","APC",0.3767
"XRN:1ANBDM","KRAS",0.3603
"XRN:1ANBDM","PTEN",0.2951
"XRN:1ANBDM","TP53",0.2797
"XRN:1AR8ME","APC",0.333
"XRN:1AR8ME","PTEN",0.3474
"XRN:1AR8ME","TP53",0.3321
"XRN:1B2QEW","APC",0.21
"XRN:1B2QEW","PTEN",0.05
"XRN:1B2QEW","TP53",0.26
"XRN:1CAKTS","KRAS",0.2961
"XRN:1CAKTS","PIK3CA",0.1708
"XRN:1CAKTS","PTEN",0.2616
"XRN:1G12JW","APC",0.4411
"XRN:1G12JW","PTEN",0.5739
"XRN:1G12JW","TP53",0.5872
"XRN:1H4CY6","PTEN",0.09
"XRN:1H4CY6","TP53",0.21
"XRN:1H7NTD","APC",0.1524
"XRN:1H7NTD","KRAS",0.1547
"XRN:1H7NTD","PTEN",0.213
"XRN:1HDVP9","APC",0.2449
"XRN:1HDVP9","KRAS",0.5099
"XRN:1HDVP9","PTEN",0.4782
"XRN:1HDVP9","TP53",0.2749
"XRN:1J8QFQ","KRAS",0.3037
"XRN:1J8QFQ","PIK3CA",0.1779
"XRN:1J8QFQ","PTEN",0.015
"XRN:1JG2VN","APC",0.7538
"XRN:1JG2VN","PTEN",0.7423
"XRN:1JG2VN","TP53",0.724
"XRN:1KG5A5","KRAS",0.3541
"XRN:1KG5A5","PIK3CA",0.2156
"XRN:1KG5A5","PTEN",0.332
"XRN:1KG5A5","TP53",0.2141
"XRN:1M5FNC","APC",0.21
"XRN:1M5FNC","PIK3CA",0.22
"XRN:1M5FNC","PTEN",0.28
"XRN:1M5FNC","TP53",0.34
"XRN:1N4DAN","APC",0.254
"XRN:1N4DAN","KRAS",0.1345
"XRN:1N4DAN","PTEN",0.1482
"XRN:1NCKVG","APC",0.1894
"XRN:1NCKVG","PTEN",0.0771
"XRN:1NCKVG","TP53",0.3455
"XRN:1NWAVD","APC",0.3872
"XRN:1NWAVD","KRAS",0.1877
"XRN:1NWAVD","PTEN",0.2529
"XRN:1NWAVD","TP53",0.2967
"XRN:1P0UJ2","PTEN",0.3128
"XRN:1P0UJ2","TP53",0.367
"XRN:1P4YJV","APC",0.37
"XRN:1P4YJV","KRAS",0.3
"XRN:1P4YJV","PTEN",0.18
"XRN:1P4YJV","TP53",0.41
"XRN:1QUR2R","KRAS",0.2505
"XRN:1QUR2R","PTEN",0.1565
"XRN:1QUR2R","TP53",0.2665
"XRN:1RGWNL","APC",0.1998
"XRN:1RGWNL","KRAS",0.3338
"XRN:1RGWNL","PIK3CA",0.1971
"XRN:1RGWNL","PTEN",0.3844
"XRN:1RN2DE","APC",0.2425
"XRN:1RN2DE","KRAS",0.2376
"XRN:1RN2DE","PTEN",0.3263
"XRN:1RN2H7","APC",0.2353
"XRN:1RN2H7","PIK3CA",0.1602
"XRN:1RN2H7","PTEN",0.234
"XRN:1RN2H7","TP53",0.1298
"XRN:1STW8S","APC",0.4578
"XRN:1STW8S","PTEN",0.2419
"XRN:1STW8S","TP53",0.4026
"XRN:1T8KNJ","APC",0.2211
"XRN:1T8KNJ","PTEN",0.266
"XRN:1T8KNJ","TP53",0.4239
"XRN:1TF931","APC",0.5708
"XRN:1TF931","PTEN",0.443
"XRN:1TF931","TP53",0.5219
"XRN:1TSDPY","APC",0.1455
"XRN:1TSDPY","KRAS",0.252
"XRN:1TSDPY","PTEN",0.3316
"XRN:1TTAK2","APC",0.3285
"XRN:1TTAK2","KRAS",0.2062
"XRN:1TTAK2","PIK3CA",0.1918
"XRN:1TTAK2","PTEN",0.2317
"XRN:1TYB9T","APC",0.28
"XRN:1TYB9T","KRAS",0.31
"XRN:1TYB9T","PIK3CA",0.02
"XRN:1TYB9T","PTEN",0.38
"XRN:1UBEST","KRAS",0.0241
"XRN:1UBEST","PTEN",0.0347
"XRN:1UMH0N","APC",0.5202
"XRN:1UMH0N","KRAS",0.3906
"XRN:1UMH0N","PTEN",0.2539
"XRN:1UMH0N","TP53",0.6667
"XRN:1USUPG","APC",0.3507
"XRN:1USUPG","PTEN",0.2184
"XRN:1USUPG","TP53",0.6763
"XRN:1V7F33","APC",0.4512
"XRN:1V7F33","KRAS",0.2434
"XRN:1V7F33","PTEN",0.309
"XRN:1VHNWV","PTEN",0.728
"XRN:1VHNWV","TP53",0.8399
"XRN:1VL55D","APC",0.3436
"XRN:1VL55D","KRAS",0.3661
"XRN:1VL55D","PTEN",0.4332
"XRN:1VL55D","TP53",0.4685
"XRN:1WXQS2","APC",0.3425
"XRN:1WXQS2","KRAS",0.2093
"XRN:1WXQS2","PTEN",0.2215
"XRN:1WXQS2","TP53",0.3196
"XRN:1XGLFA","APC",0.4671
"XRN:1XGLFA","KRAS",0.1874
"XRN:1XGLFA","PIK3CA",0.2064
"XRN:1XGLFA","PTEN",0.2484
"XRN:20UNW8","KRAS",0.33
"XRN:20UNW8","PTEN",0.14
"XRN:20UNW8","TP53",0.52
"XRN:23GQWE","APC",0.2974
"XRN:23GQWE","KRAS",0.2907
"XRN:23GQWE","PTEN",0.0302
"XRN:23XWSB","APC",0.3002
"XRN:23XWSB","KRAS",0.2681
"XRN:23XWSB","PIK3CA",0.1732
"XRN:23XWSB","PTEN",0.1582
"XRN:23XWSB","TP53",0.4147
"XRN:262N3D","APC",0.0597
"XRN:262N3D","KRAS",0.0256
"XRN:262N3D","PIK3CA",0.0263
"XRN:262N3D","PTEN",0.0308
"XRN:2675EA","APC",0.3865
"XRN:2675EA","KRAS",0.3701
"XRN:2675EA","PTEN",0.363
"XRN:2675EA","TP53",0.5282
"XRN:26G8QT","APC",0.1432
"XRN:26G8QT","KRAS",0.0832
"XRN:26G8QT","PTEN",0.1116
"XRN:26G8QT","TP53",0.097
"XRN:26HYU0","KRAS",0.1382
"XRN:26HYU0","PIK3CA",0.1816
"XRN:26HYU0","PTEN",0.3345
"XRN:26XCCB","APC",0.2271
"XRN:26XCCB","KRAS",0.322
"XRN:26XCCB","PTEN",0.425
"XRN:26XCCB","TP53",0.412
"XRN:27P2EN","APC",0.1464
"XRN:27P2EN","PTEN",0.089
"XRN:27P2EN","TP53",0.1721
"XRN:28S3PR","APC",0.44
"XRN:28S3PR","KRAS",0.4
"XRN:28S3PR","PTEN",0.03
"XRN:2AGXQN","APC",0.3904
"XRN:2AGXQN","PTEN",0.3693
"XRN:2AGXQN","TP53",0.4271
"XRN:2B7TC3","APC",0.27
"XRN:2B7TC3","KRAS",0.2287
"XRN:2B7TC3","PIK3CA",0.2877
"XRN:2B7TC3","PTEN",0.2536
"XRN:2B7TC3","TP53",0.309
"XRN:2D9QVN","APC",0.364
"XRN:2D9QVN","KRAS",0.3669
"XRN:2D9QVN","PTEN",0.545
"XRN:2D9QVN","TP53",0.6055
"XRN:2DJNT2","PIK3CA",0.0274
"XRN:2DJNT2","PTEN",0.181
"XRN:2DJNT2","TP53",0.184
"XRN:2EAGLC","APC",0.1336
"XRN:2EAGLC","KRAS",0.1404
"XRN:2EAGLC","PTEN",0.0642
"XRN:2EQFEJ","APC",0.2119
"XRN:2EQFEJ","KRAS",0.4313
"XRN:2EQFEJ","PTEN",0.4631
"XRN:2EQFEJ","TP53",0.4803
"XRN:2F9C7N","APC",0.09
"XRN:2F9C7N","KRAS",0.09
"XRN:2F9C7N","PIK3CA",0.08
"XRN:2F9C7N","PTEN",0.09
"XRN:2F9C7N","TP53",0.11
"XRN:2FYYTB","APC",0.276
"XRN:2FYYTB","KRAS",0.2427
"XRN:2FYYTB","PIK3CA",0.2711
"XRN:2FYYTB","PTEN",0.3304
"XRN:2GMSE1","APC",0.5845
"XRN:2GMSE1","KRAS",0.4142
"XRN:2GMSE1","PIK3CA",0.2684
"XRN:2GMSE1","PTEN",0.3342
"XRN:2GMSE1","TP53",0.021
"XRN:2J9Q3Q","APC",0.319
"XRN:2J9Q3Q","KRAS",0.3303
"XRN:2J9Q3Q","PTEN",0.3266
"XRN:2JQ3J5","APC",0.31
"XRN:2JQ3J5","PTEN",0.49
"XRN:2JQ3J5","TP53",0.42
"XRN:2L9U6N","APC",0.2676
"XRN:2L9U6N","PTEN",0.1896
"XRN:2LLWET","KRAS",0.3535
"XRN:2LLWET","PTEN",0.4611
"XRN:2MAR7P","APC",0.3426
"XRN:2MAR7P","KRAS",0.321
"XRN:2MAR7P","PTEN",0.1983
"XRN:2MAR7P","TP53",0.3564
"XRN:2MD56G","APC",0.14
"XRN:2MD56G","KRAS",0.11
"XRN:2MD56G","PTEN",0.03
"XRN:2MD56G","TP53",0.09
"XRN:2MKFH9","APC",0.3515
"XRN:2MKFH9","KRAS",0.3949
"XRN:2MKFH9","PTEN",0.4191
"XRN:2MKFH9","TP53",0.458
"XRN:2NRRP9","APC",0.3862
"XRN:2NRRP9","KRAS",0.226
"XRN:2NRRP9","PTEN",0.2232
"XRN:2NRRP9","TP53",0.358
"XRN:2P2KXK","APC",0.2268
"XRN:2P2KXK","KRAS",0.0479
"XRN:2P2KXK","PIK3CA",0.1811
"XRN:2P2KXK","PTEN",0.1645
"XRN:2PRB82","APC",0.2811
"XRN:2PRB82","KRAS",0.2196
"XRN:2PRB82","PTEN",0.0594
"XRN:2PRB82","TP53",0.3563
"XRN:2Q9V58","APC",0.2623
"XRN:2Q9V58","KRAS",0.3016
"XRN:2Q9V58","PIK3CA",0.0977
"XRN:2Q9V58","PTEN",0.3716
"XRN:2RR2A9","APC",0.17
"XRN:2RR2A9","KRAS",0.14
"XRN:2RR2A9","PIK3CA",0.14
"XRN:2RR2A9","PTEN",0.08
"XRN:2S0BTG","APC",0.1018
"XRN:2S0BTG","KRAS",0.1056
"XRN:2S0BTG","PTEN",0.0971
"XRN:2SJMJ6","PTEN",0.0401
"XRN:2UNF7E","PTEN",0.5491
"XRN:2W8LL2","APC",0.3453
"XRN:2W8LL2","KRAS",0.3735
"XRN:2W8LL2","PTEN",0.1785
"XRN:2YJVUE","APC",0.06
"XRN:2YJVUE","KRAS",0.06
"XRN:2YJVUE","PTEN",0.06
"XRN:312F8R","APC",0.4297
"XRN:312F8R","KRAS",0.1906
"XRN:312F8R","PTEN",0.29
"XRN:312F8R","TP53",0.3207
"XRN:31NXN0","APC",0.1093
"XRN:31NXN0","KRAS",0.1672
"XRN:31NXN0","PIK3CA",0.1274
"XRN:31NXN0","PTEN",0.1605
"XRN:31NXN0","TP53",0.1469
"XRN:34MJ98","APC",0.2128
"XRN:34MJ98","KRAS",0.2844
"XRN:34MJ98","PTEN",0.1847
"XRN:36849V","APC",0.4621
"XRN:36849V","KRAS",0.2115
"XRN:36849V","PTEN",0.2819
"XRN:36JVN5","APC",0.0298
"XRN:36JVN5","KRAS",0.0484
"XRN:36JVN5","PTEN",0.0653
"XRN:36SYG6","APC",0.58
"XRN:36SYG6","PTEN",0.1289
"XRN:36SYG6","TP53",0.4023
"XRN:37795M","APC",0.3085
"XRN:37795M","KRAS",0.2852
"XRN:37795M","PTEN",0.3817
"XRN:37795M","TP53",0.6474
"XRN:37S8P7","APC",0.1784
"XRN:37S8P7","KRAS",0.0873
"XRN:37S8P7","PTEN",0.1058
"XRN:38T316","APC",0.43
"XRN:38T316","KRAS",0.27
"XRN:38T316","PTEN",0.31
"XRN:38T316","TP53",0.4
"XRN:39CDXN","APC",0.4154
"XRN:39CDXN","KRAS",0.2337
"XRN:39CDXN","PTEN",0.2868
"XRN:3A08HM","APC",0.2731
"XRN:3A08HM","KRAS",0.4597
"XRN:3A08HM","PIK3CA",0.2702
"XRN:3A08HM","PTEN",0.5628
"XRN:3A3DC6","APC",0.145
"XRN:3A3DC6","KRAS",0.1596
"XRN:3A3DC6","PTEN",0.2011
"XRN:3BG769","APC",0.2386
"XRN:3BG769","KRAS",0.1772
"XRN:3BG769","PTEN",0.0092
"XRN:3BG769","TP53",0.3728
"XRN:3C87UX","APC",0.5869
"XRN:3C87UX","KRAS",0.2583
"XRN:3C87UX","PTEN",0.3143
"XRN:3CR9BX","PTEN",0.0952
"XRN:3CR9BX","TP53",0.3986
"XRN:3DGT50","APC",0.26
"XRN:3DGT50","KRAS",0.27
"XRN:3DGT50","PTEN",0.61
"XRN:3EMURM","APC",0.2
"XRN:3EMURM","KRAS",0.16
"XRN:3EMURM","PTEN",0.13
"XRN:3EMURM","TP53",0.22
"XRN:3G5WEM","KRAS",0.2129
"XRN:3G5WEM","PIK3CA",0.2038
"XRN:3G5WEM","PTEN",0.2626
"XRN:3HVLPQ","APC",0.3248
"XRN:3HVLPQ","KRAS",0.3605
"XRN:3HVLPQ","PIK3CA",0.0478
"XRN:3HVLPQ","PTEN",0.3434
"XRN:3HVLPQ","TP53",0.3796
"XRN:3ML6KW","APC",0.2786
"XRN:3ML6KW","KRAS",0.2952
"XRN:3ML6KW","PIK3CA",0.2765
"XRN:3ML6KW","PTEN",0.4352
"XRN:3ML6KW","TP53",0.4728
"XRN:3NYRF2","APC",0.1929
"XRN:3NYRF2","PTEN",0.1911
"XRN:3PF0W3","APC",0.321
"XRN:3PF0W3","PTEN",0.2507
"XRN:3PF0W3","TP53",0.4657
"XRN:3QWBCR","APC",0.09
"XRN:3QWBCR","PIK3CA",0.04
"XRN:3QWBCR","PTEN",0.11
"XRN:3RNEW5","APC",0.3718
"XRN:3RNEW5","PTEN",0.2021
"XRN:3RNEW5","TP53",0.6092
"XRN:3TU5XF","APC",0.4
"XRN:3TU5XF","KRAS",0.44
"XRN:3TU5XF","PTEN",0.69
"XRN:3TU5XF","TP53",0.72
"XRN:3UJ28U","APC",0.2487
"XRN:3UJ28U","KRAS",0.2747
"XRN:3UJ28U","PTEN",0.1711
"XRN:3UJ28U","TP53",0.2912
"XRN:3V78VG","APC",0.35
"XRN:3V78VG","PTEN",0.57
"XRN:3VBD72","APC",0.251
"XRN:3VBD72","KRAS",0.1951
"XRN:3VBD72","PTEN",0.207
"XRN:3VBD72","TP53",0.1042
"XRN:3W8G5V","KRAS",0.09
"XRN:3W8G5V","PTEN",0.12
"XRN:3W8G5V","TP53",0.1
"XRN:3WCD96","APC",0.3623
"XRN:3WCD96","PTEN",0.3974
"XRN:3WCD96","TP53",0.3489
"XRN:3WJJCK","APC",0.6416
"XRN:3WJJCK","PTEN",0.49
"XRN:3WJJCK","TP53",0.6704
"XRN:3WQ72S","APC",0.4387
"XRN:3WQ72S","KRAS",0.3617
"XRN:3WQ72S","PTEN",0.389
"XRN:3XQNG8","PTEN",0.231
"XRN:3XQNG8","TP53",0.3848
"XRN:3YVSLF","APC",0.7109
"XRN:3YVSLF","KRAS",0.3906
"XRN:3YVSLF","PIK3CA",0.2032
"XRN:3YVSLF","PTEN",0.3383
"XRN:3YVSLF","TP53",0.1684
"XRN:42BS0H","APC",0.4877
"XRN:42BS0H","KRAS",0.7961
"XRN:42BS0H","PTEN",0.7568
"XRN:42BS0H","TP53",0.8627
"XRN:43TEYF","APC",0.35
"XRN:43TEYF","PTEN",0.55
"XRN:43TEYF","TP53",0.1
"XRN:43XJVQ","APC",0.17
"XRN:43XJVQ","KRAS",0.16
"XRN:43XJVQ","PIK3CA",0.13
"XRN:43XJVQ","PTEN",0.12
"XRN:43XJVQ","TP53",0.27
"XRN:44G6N1","APC",0.4964
"XRN:44G6N1","KRAS",0.386
"XRN:44G6N1","PIK3CA",0.2405
"XRN:44G6N1","PTEN",0.3333
"XRN:45EBCV","APC",0.3
"XRN:45EBCV","PTEN",0.27
"XRN:45RS3M","APC",0.2325
"XRN:45RS3M","KRAS",0.4216
"XRN:45RS3M","PTEN",0.2029
"XRN:464WVW","PTEN",0.6261
"XRN:464WVW","TP53",0.4671
"XRN:466W94","APC",0.5128
"XRN:466W94","PTEN",0.6189
"XRN:466W94","TP53",0.63
"XRN:47PK9A","APC",0.3124
"XRN:47PK9A","KRAS",0.6667
"XRN:47PK9A","PTEN",0.3812
"XRN:47PK9A","TP53",0.6858
"XRN:4858M5","APC",0.4893
"XRN:4858M5","PIK3CA",0.0287
"XRN:4858M5","PTEN",0.0257
"XRN:49M6MY","APC",0.1689
"XRN:49M6MY","KRAS",0.2276
"XRN:49M6MY","PTEN",0.2022
"XRN:49TAPP","APC",0.2506
"XRN:49TAPP","KRAS",0.2687
"XRN:49TAPP","PIK3CA",0.2633
"XRN:49TAPP","PTEN",0.2832
"XRN:4A8LJR","PTEN",0.5305
"XRN:4A8LJR","TP53",0.0404
"XRN:4ADB65","APC",0.4705
"XRN:4ADB65","PIK3CA",0.3863
"XRN:4ADB65","PTEN",0.4897
"XRN:4ADB65","TP53",0.4993
"XRN:4ASSVT","PTEN",0.0198
"XRN:4ASSVT","TP53",0.0163
"XRN:4AYLPP","APC",0.25
"XRN:4AYLPP","PTEN",0.1
"XRN:4BSXCG","PTEN",0.6971
"XRN:4BSXCG","TP53",0.8428
"XRN:4DDB3P","APC",0.6368
"XRN:4DDB3P","KRAS",0.3317
"XRN:4DDB3P","PTEN",0.6478
"XRN:4DDB3P","TP53",0.5
"XRN:4E5EBL","APC",0.1215
"XRN:4E5EBL","KRAS",0.206
"XRN:4E5EBL","PIK3CA",0.2343
"XRN:4E5EBL","PTEN",0.2375
"XRN:4E5EBL","TP53",0.3159
"XRN:4EQQ6D","PTEN",0.2638
"XRN:4EQQ6D","TP53",0.301
"XRN:4GCXBX","APC",0.2059
"XRN:4GCXBX","KRAS",0.2034
"XRN:4GCXBX","PIK3CA",0.2229
"XRN:4GCXBX","PTEN",0.2388
"XRN:4GCXBX","TP53",0.2236
"XRN:4HLPP8","APC",0.4843
"XRN:4HLPP8","KRAS",0.747
"XRN:4HLPP8","PTEN",0.8391
"XRN:4HLPP8","TP53",0.8377
"XRN:4K2WAW","APC",0.3343
"XRN:4K2WAW","PTEN",0.4685
"XRN:4K2WAW","TP53",0.5248
"XRN:4K4NGP","APC",0.74
"XRN:4K4NGP","KRAS",0.37
"XRN:4K4NGP","PTEN",0.15
"XRN:4K7A63","APC",0.4347
"XRN:4K7A63","KRAS",0.5
"XRN:4K7A63","PTEN",0.5376
"XRN:4QLBDL","APC",0.2473
"XRN:4QLBDL","PTEN",0.5404
"XRN:4QLBDL","TP53",0.2773
"XRN:4QVN2M","APC",0.1607
"XRN:4QVN2M","PTEN",0.2062
"XRN:4S05MF","APC",0.72
"XRN:4S05MF","KRAS",0.36
"XRN:4S05MF","PIK3CA",0.72
"XRN:4S05MF","PTEN",0.69
"XRN:4TFLA9","KRAS",0.06
"XRN:4TFLA9","PTEN",0.06
"XRN:4TMKV9","KRAS",0.5031
"XRN:4TMKV9","PTEN",0.7173
"XRN:4TUWW8","KRAS",0.17
"XRN:4TUWW8","PTEN",0.09
"XRN:4TUWW8","TP53",0.03
"XRN:4U9LBK","APC",0.3906
"XRN:4U9LBK","PTEN",0.6272
"XRN:4U9LBK","TP53",0.5318
"XRN:4W0QT2","APC",0.3565
"XRN:4W0QT2","KRAS",0.1597
"XRN:4W0QT2","PTEN",0.2441
"XRN:4WCXGB","KRAS",0.4964
"XRN:4WCXGB","PTEN",0.213
"XRN:4WCXGB","TP53",0.6662
"XRN:4WD0S9","KRAS",0.2239
"XRN:4WD0S9","PIK3CA",0.3449
"XRN:4X19VD","PTEN",0.54
"XRN:4X19VD","TP53",0.55
"XRN:4XQKMF","APC",0.4399
"XRN:4XQKMF","KRAS",0.6086
"XRN:4XQKMF","PTEN",0.8165
"XRN:4XQKMF","TP53",0.8275
"XRN:50A5GY","APC",0.5123
"XRN:50A5GY","PTEN",0.2896
"XRN:50A5GY","TP53",0.235
"XRN:50NBV2","APC",0.2497
"XRN:50NBV2","KRAS",0.4344
"XRN:50NBV2","PTEN",0.4409
"XRN:50NBV2","TP53",0.4395
"XRN:50QN3E","APC",0.368
"XRN:50QN3E","PTEN",0.5135
"XRN:50QN3E","TP53",0.2596
"XRN:52UXWJ","APC",0.1935
"XRN:52UXWJ","KRAS",0.1831
"XRN:52UXWJ","PTEN",0.272
"XRN:52UXWJ","TP53",0.2769
"XRN:5596BJ","APC",0.2979
"XRN:5596BJ","KRAS",0.2798
"XRN:5596BJ","PTEN",0.335
"XRN:5596BJ","TP53",0.31
"XRN:55SCHX","APC",0.07
"XRN:55SCHX","KRAS",0.06
"XRN:55SCHX","PIK3CA",0.12
"XRN:55SCHX","PTEN",0.08
"XRN:55SCHX","TP53",0.07
"XRN:55WH1A","APC",0.3557
"XRN:55WH1A","KRAS",0.2895
"XRN:55WH1A","PIK3CA",0.147
"XRN:55WH1A","PTEN",0.0296
"XRN:566XXW","APC",0.2237
"XRN:566XXW","PIK3CA",0.2544
"XRN:566XXW","PTEN",0.2184
"XRN:56JJ07","APC",0.29
"XRN:56JJ07","KRAS",0.43
"XRN:56JJ07","PIK3CA",0.33
"XRN:56JJ07","PTEN",0.31
"XRN:5728A7","KRAS",0.58
"XRN:5728A7","PIK3CA",0.3
"XRN:5728A7","PTEN",0.29
"XRN:582GSA","KRAS",0.4951
"XRN:582GSA","PTEN",0.3242
"XRN:582GSA","TP53",0.4341
"XRN:591WCF","APC",0.3704
"XRN:591WCF","PTEN",0.3865
"XRN:591WCF","TP53",0.3962
"XRN:5A6VUR","APC",0.3383
"XRN:5A6VUR","KRAS",0.4328
"XRN:5A6VUR","PIK3CA",0.3832
"XRN:5A6VUR","TP53",0.6002
"XRN:5AAVQ4","KRAS",0.04
"XRN:5AAVQ4","PTEN",0.04
"XRN:5CDCKJ","APC",0.74
"XRN:5CDCKJ","KRAS",0.36
"XRN:5D9435","APC",0.0736
"XRN:5D9435","KRAS",0.0636
"XRN:5D9435","PTEN",0.0655
"XRN:5D9435","TP53",0.1295
"XRN:5E017M","PTEN",0.1096
"XRN:5E017M","TP53",0.1425
"XRN:5E34EC","APC",0.6042
"XRN:5E34EC","KRAS",0.6585
"XRN:5E34EC","PTEN",0.1139
"XRN:5FU376","APC",0.48
"XRN:5FU376","KRAS",0.32
"XRN:5FU376","PTEN",0.19
"XRN:5FU376","TP53",0.44
"XRN:5FWQWG","APC",0.6125
"XRN:5FWQWG","PTEN",0.0174
"XRN:5FWQWG","TP53",0.656
"XRN:5GHA3L","APC",0.3264
"XRN:5GHA3L","KRAS",0.3092
"XRN:5GHA3L","PTEN",0.102
"XRN:5GHA3L","TP53",0.4457
"XRN:5HDTMX","APC",0.1178
"XRN:5HDTMX","PTEN",0.2068
"XRN:5HDTMX","TP53",0.1596
"XRN:5J2WXU","PTEN",0.239
"XRN:5J2WXU","TP53",0.2567
"XRN:5JBGYF","APC",0.1397
"XRN:5JBGYF","PTEN",0.077
"XRN:5JBGYF","TP53",0.172
"XRN:5K67E1","APC",0.0858
"XRN:5K67E1","KRAS",0.0667
"XRN:5K67E1","PIK3CA",0.0814
"XRN:5K67E1","PTEN",0.0685
"XRN:5K67E1","TP53",0.1196
"XRN:5LFW72","PTEN",0.2183
"XRN:5LFW72","TP53",0.1971
"XRN:5LHFJY","KRAS",0.488
"XRN:5LHFJY","PTEN",0.6334
"XRN:5LHFJY","TP53",0.67
"XRN:5LP9CW","APC",0.3576
"XRN:5LP9CW","KRAS",0.3047
"XRN:5LP9CW","PTEN",0.3074
"XRN:5LP9CW","TP53",0.371
"XRN:5LVG4W","APC",0.2109
"XRN:5LVG4W","KRAS",0.2601
"XRN:5LVG4W","PTEN",0.0495
"XRN:5LVG4W","TP53",0.4727
"XRN:5NW1EN","APC",0.08
"XRN:5NW1EN","KRAS",0.08
"XRN:5NW1EN","PTEN",0.08
"XRN:5QVDXT","APC",0.6807
"XRN:5QVDXT","PTEN",0.6324
"XRN:5QVDXT","TP53",0.7287
"XRN:5R3QLB","APC",0.3217
"XRN:5R3QLB","KRAS",0.2263
"XRN:5R3QLB","PTEN",0.1873
"XRN:5R3QLB","TP53",0.2378
"XRN:5SEU6L","PTEN",0.2018
"XRN:5SSXQV","APC",0.3365
"XRN:5SSXQV","PTEN",0.2985
"XRN:5SSXQV","TP53",0.3433
"XRN:5TQL7X","APC",0.64
"XRN:5TQL7X","KRAS",0.52
"XRN:5TQL7X","PTEN",0.6
"XRN:5TQL7X","TP53",0.72
"XRN:5TW9X5","APC",0.36
"XRN:5TW9X5","PTEN",0.72
